ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
279,Voluntary Early Retirement (VER),2012,2009,2010,Public Servant,A01-A04,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,M,A,A,D,A,A,A,A,A,A,A,A,D,D,Female,31-35,,,,,,1
280,Resignation-Other reasons,2012,1992,1992,Cleaner,,Not Stated,,Permanent Part-time,False,False,True,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,0,0,D,A,SD,SD,SD,D,A,D,SD,SD,SD,SD,D,SD,D,SD,SD,Female,61 or older,,,,,,0
281,Age Retirement,2012,1997,1997,Cleaner,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,A,A,A,A,A,A,A,SA,SA,A,SA,A,A,A,A,A,Female,51-55,,,,,,1
282,Age Retirement,2013,1978,1978,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,0,0,SA,A,SD,SD,SA,N,N,D,SD,A,N,SD,SD,A,N,SD,D,Female,51-55,,,,,,1
283,Voluntary Early Retirement (VER),2012,2003,2012,Public Servant,AO5-AO7,Central Office,Infrastructure,Permanent Full-time,False,True,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,A,A,A,A,A,A,,N,A,A,N,A,N,N,N,N,Female,26-30,,,,,,1
284,Resignation-Other employer,2012,2007,2007,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,N,D,A,D,SA,SA,SA,SA,A,A,N,A,A,A,N,A,A,Female,26-30,,,,,,1
285,Resignation-Other employer,2012,2007,2008,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,A,0,1,1,D,D,D,A,SA,SA,SD,D,A,SA,A,D,A,A,A,A,A,Female,31-35,,,,,,1
286,Resignation-Move overseas/interstate,2012,2012,2012,Cleaner,,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,0,A,A,A,SA,SA,A,A,,,,,A,A,A,A,,A,Female,,,,,,,1
287,Resignation-Other employer,2012,2012,2012,Teacher Aide,,Not Stated,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,36-40,,,,,,0
288,Age Retirement,2012,2003,2003,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,,0,1,1,A,A,A,A,A,A,A,,,,,A,A,A,A,,A,Male,61 or older,,,,,,1
289,Resignation-Move overseas/interstate,2013,Not Stated,Not Stated,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,D,1,1,1,N,N,SD,N,N,A,N,A,N,N,D,D,N,D,N,N,N,Female,26-30,,,,,,1
290,Age Retirement,2012,1974,1989,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,N,N,N,A,A,A,A,A,A,N,A,A,A,A,N,N,Female,61 or older,,,,,,1
291,Age Retirement,2013,1994,1996,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,N,N,N,A,N,N,N,N,D,A,A,A,N,A,Male,61 or older,,,,,,1
292,Resignation-Other employer,2013,Not Stated,Not Stated,Teacher Aide,,Not Stated,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,,A,A,N,A,N,A,,SA,Female,56-60,,,,,,1
293,Age Retirement,2013,1983,1983,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,,56-60,,,,,,1
294,Resignation-Move overseas/interstate,2012,Not Stated,Not Stated,Schools Officer,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,True,True,False,False,0,0,False,A,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,M,SA,M,SA,SA,SA,SA,SA,SA,,61 or older,,,,,,0
295,Voluntary Early Retirement (VER),2013,1992,1992,Professional Officer,PO1-PO4,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,SA,SA,D,A,A,SA,A,A,SD,N,N,A,D,N,N,D,SD,Male,56-60,,,,,,1
296,Resignation-Move overseas/interstate,2012,1980,2003,Teacher,Special Education,Central Office,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,1,1,1,A,A,A,A,A,N,N,N,D,D,D,N,N,N,N,N,N,Female,51-55,,,,,,1
297,Resignation-Other employer,2012,2006,2009,Technical Officer,,North Coast,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SA,A,SA,A,A,N,A,A,A,A,A,A,A,A,A,A,Male,41-45,,,,,,1
298,Age Retirement,2012,1997,1997,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,N,D,N,N,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
299,Other,2013,2012,2012,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,True,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,21-25,,,,,,0
300,Age Retirement,2012,1990,1997,Public Servant,A01-A04,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,N,A,Female,56-60,,,,,,1
301,Resignation-Move overseas/interstate,2012,1996,1996,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,N,0,1,1,D,A,D,D,A,N,SD,A,A,A,SA,D,N,A,A,D,A,Female,51-55,,,,,,1
302,Resignation-Other employer,2012,Not Stated,Not Stated,School Administrative Staff,,Not Stated,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,A,SA,N,A,A,SA,SA,A,A,A,A,A,SA,A,A,A,A,Female,46-50,,,,,,1
303,Age Retirement,2013,1988,1988,Cleaner,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SA,A,A,A,A,A,A,N,N,N,A,A,A,A,A,D,Female,56-60,,,,,,1
304,Resignation-Other reasons,2012,2005,2011,Cleaner,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,0,0,D,N,SD,SD,SD,SD,D,SD,SD,SD,SD,SD,SD,D,SD,SD,SD,Male,51-55,,,,,,0
305,Resignation-Other employer,2013,2009,2009,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,0,1,A,N,A,SA,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,46-50,,,,,,1
306,Contract Expired,2012,2011,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,0,A,SA,A,N,SA,SA,A,A,A,A,SA,A,A,SA,SA,A,SD,Male,41-45,,,,,,1
307,Contract Expired,2012,2011,2011,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,A,A,A,A,N,A,A,A,A,A,A,N,N,Male,21-25,,,,,,1
308,Age Retirement,2012,2007,2007,Cleaner,,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,A,A,A,SA,A,SA,SA,A,SA,SA,A,A,Female,61 or older,,,,,,0
309,Age Retirement,2013,1988,1988,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,A,SD,SD,SD,D,D,A,D,A,SD,D,SD,D,D,A,A,Male,51-55,,,,,,1
310,Age Retirement,2012,1988,2008,Teacher,Special Education,South East,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,51-55,,,,,,0
311,Age Retirement,2013,1972,1989,Guidance Officer,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,0,1,D,D,SD,SD,A,N,N,N,D,SD,D,SD,D,N,N,D,D,Male,61 or older,,,,,,1
312,Resignation-Other employer,2013,2001,2007,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,N,N,SD,A,N,D,N,N,N,N,N,N,A,N,N,N,Male,36-40,,,,,,1
313,Resignation-Other reasons,2013,1999,2012,Teacher,Primary,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,D,1,1,1,A,D,SD,D,D,N,D,D,,,,D,D,SD,N,SD,SD,Female,36-40,,,,,,1
314,Age Retirement,2013,1969,1995,Guidance Officer,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,SA,A,N,A,A,A,A,N,N,A,A,A,A,A,A,N,A,Female,61 or older,,,,,,1
315,Resignation-Other employer,2013,2001,2006,Teacher,Primary,Not Stated,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,D,SA,A,N,A,A,A,SA,D,D,D,N,A,A,A,N,A,Female,36-40,,,,,,1
316,Other,2012,Not Stated,Not Stated,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,M,Female,61 or older,,,,,,1
317,Age Retirement,2012,Not Stated,Not Stated,Cleaner,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,,,A,,A,A,A,A,,A,Female,61 or older,,,,,,1
318,Resignation-Other employer,2012,1989,1989,Teacher,,Metropolitan,,Permanent Full-time,False,True,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,N,D,A,A,SA,SA,D,D,A,D,SD,N,SD,A,A,Male,41-45,,,,,,1
319,Resignation-Other reasons,2012,2012,2012,School Administrative Staff,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,1,D,SD,SD,N,SD,N,SD,,D,A,D,A,N,SD,N,D,D,Female,46-50,,,,,,1
320,Age Retirement,2013,1979,1992,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,61 or older,,,,,,1
321,Resignation-Other reasons,2012,2011,2011,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,1,SA,D,D,SA,D,A,D,D,SA,N,N,D,N,A,A,N,M,Female,26-30,,,,,,1
322,Age Retirement,2013,1987,1987,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,D,A,Female,61 or older,,,,,,1
323,Resignation-Other employer,2013,2007,2007,Teacher,Middle,Metropolitan,,Permanent Full-time,False,True,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,D,A,A,A,D,A,D,SD,A,Male,26-30,,,,,,1
324,Voluntary Early Retirement (VER),2012,2000,2000,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,Male,61 or older,,,,,,1
325,Resignation-Other reasons,2012,2011,2011,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,0,1,1,SD,SA,A,A,A,SA,A,D,A,A,A,A,SA,A,D,A,SA,Female,21-25,,,,,,1
326,Resignation-Other employer,2012,2000,2004,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,,,A,A,A,A,A,A,A,A,Female,46-50,,,,,,1
327,Resignation-Other reasons,2012,2008,2008,Cleaner,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,SA,SA,A,A,A,A,SA,SA,SA,Female,36-40,,,,,Yes,1
328,Age Retirement,2012,1975,1975,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,D,0,1,1,A,A,A,D,A,A,N,D,D,N,D,A,A,D,N,N,N,Female,61 or older,,,,,,1
329,Age Retirement,2013,1973,2009,Teacher,Special Education,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,A,0,0,1,A,A,D,D,SA,A,A,D,N,D,D,D,A,D,D,SD,A,Female,56-60,,,,,,1
330,Voluntary Early Retirement (VER),2013,1971,Not Stated,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,,,,,,,0
331,Age Retirement,2012,1973,1986,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,SA,A,A,A,A,SA,A,A,,SA,SA,A,A,A,A,A,SA,Female,61 or older,,,,,,1
332,Age Retirement,2012,1995,1999,School Principal,,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,A,0,1,0,A,D,A,,SA,SA,SA,SA,,D,N,SA,A,D,A,A,SA,Female,61 or older,,,,,,1
333,Resignation-Other reasons,2012,2011,2011,Cleaner,,Not Stated,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,1,1,SA,N,N,N,N,SA,SA,N,A,M,A,D,N,SA,A,N,SA,Female,21-25,,,,,,1
334,Resignation-Other employer,2012,2012,2012,School Administrative Staff,,South East,,Temporary Part-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,,0,0,0,SA,SA,SA,SA,SA,SA,SA,,,SA,,SA,SA,SA,SA,,SA,Female,51-55,,,,,,0
335,Age Retirement,2013,1979,Not Stated,Teacher,Secondary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,SD,SD,A,N,A,A,A,N,D,A,A,D,SD,A,A,Male,51-55,,,,,,1
336,Contract Expired,2012,2012,2012,Teacher,Primary,Far North Queensland,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,0,1,A,D,N,N,SA,N,A,,N,N,N,SA,A,A,A,N,N,Female,21-25,,,,,,1
337,Other,2012,Not Stated,Not Stated,School Administrative Staff,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,A,A,A,A,A,A,SA,SA,SA,A,A,A,A,M,M,,,,,,,,1
338,Age Retirement,2013,1988,2001,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,SA,SA,SA,SA,A,A,A,N,A,A,A,SA,A,Male,51-55,,,,,Yes,1
339,Age Retirement,2012,1984,1985,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,A,A,A,A,A,A,A,D,N,D,A,A,A,A,N,A,Female,61 or older,,,,,,1
340,Age Retirement,2013,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,A,SD,SA,N,A,A,A,A,N,A,N,D,D,N,D,A,A,Male,56-60,,,,,,1
341,Resignation-Other reasons,2013,2005,2012,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,True,False,False,False,False,0,0,False,SA,0,1,0,D,D,A,A,A,SA,A,A,SA,A,SA,A,A,A,A,N,A,Male,26-30,,,,,,1
342,Voluntary Early Retirement (VER),2013,1972,1996,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,,0
343,Age Retirement,2012,1999,2012,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,56-60,,,,,,0
344,Resignation-Other employer,2012,Not Stated,Not Stated,School Administrative Staff,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,A,N,A,A,SA,SA,A,N,N,N,N,A,A,A,A,A,Female,41-45,,,,,Yes,1
345,Age Retirement,2013,1981,1996,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,,0,1,0,A,SA,SA,D,A,A,SA,SA,A,A,,A,SA,SA,SA,,N,Female,61 or older,,,,,,1
346,Resignation-Other employer,2012,1988,1988,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,41-45,,,,,,1
347,Age Retirement,2013,Not Stated,Not Stated,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,1,1,N,A,N,N,N,A,N,A,A,N,A,N,N,A,N,N,A,Female,56-60,,,,,,1
348,Resignation-Other employer,2012,2008,2008,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,36-40,,,,,Yes,1
349,Resignation-Other reasons,2013,1980,1999,Teacher,Secondary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,D,N,A,A,A,D,A,A,A,A,N,A,A,D,A,Male,56-60,,,,,,1
350,Age Retirement,2013,Not Stated,Not Stated,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,1,A,D,A,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,N,A,Female,51-55,,,,,,1
351,Age Retirement,2013,1974,1983,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SD,N,A,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,56-60,,,,,,1
352,Age Retirement,2012,1986,1986,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,0,A,A,A,A,A,SA,A,A,,A,,A,A,A,A,N,A,Female,61 or older,,,,,,1
353,Age Retirement,2013,Not Stated,Not Stated,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,1,1,N,A,N,N,N,A,N,A,A,N,A,N,N,A,N,N,A,Female,56-60,,,,,,1
354,Other,2012,2004,2011,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,A,A,SA,A,A,A,,SA,SA,SA,A,A,A,A,N,N,Female,56-60,,,,,,1
355,Resignation-Other employer,2013,2007,2007,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,A,A,A,N,SA,SA,A,SA,N,N,N,A,A,A,A,A,A,Male,26-30,,,,,,1
356,Resignation-Other reasons,2013,1992,1992,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,N,A,N,N,A,A,A,A,A,A,N,N,A,A,N,N,N,Female,56-60,,,,,,1
357,Resignation-Move overseas/interstate,2013,2003,2011,Teacher,Secondary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,SA,0,1,0,SA,A,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,Female,31-35,,,,,,1
358,Age Retirement,2013,1978,2006,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N,SA,Male,56-60,,,,,,0
359,Age Retirement,2013,1975,1975,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,D,D,D,M,A,A,D,A,N,A,A,A,A,A,A,N,A,Female,56-60,,,,,,1
360,Age Retirement,2013,1990,1990,Public Servant,A01-A04,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,D,D,SA,SA,SA,SA,,,D,A,SA,A,A,A,D,A,Female,61 or older,,,,,,0
361,Contract Expired,2012,2006,2012,Teacher Aide,,South East,,Temporary Part-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,,0,0,0,SA,SA,SA,A,SA,SA,SA,A,,SA,,N,A,SA,,,,Female,46-50,,,,,,0
362,Age Retirement,2013,1975,1981,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,D,A,A,SA,A,A,A,N,A,A,A,A,A,A,N,A,Female,56-60,,,,,,1
363,Age Retirement,2013,1994,1998,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,D,D,D,D,A,A,A,D,,,,D,A,A,A,N,D,Female,56-60,,,,,,1
364,Age Retirement,2013,1984,2006,Public Servant,AO8 and Above,Central Office,Infrastructure,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,SA,N,A,A,A,SA,A,A,N,D,N,N,A,A,A,A,A,Male,61 or older,,,,,,1
365,Other,2012,Not Stated,Not Stated,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Male,46-50,,,,Yes,,0
366,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Male,26-30,,,,,,0
367,Resignation-Move overseas/interstate,2013,2010,2010,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,N,N,A,A,N,A,N,A,A,A,N,A,A,D,A,Male,21-25,,,,,,1
368,Resignation-Move overseas/interstate,2013,2012,2012,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,A,1,1,1,A,D,A,A,SA,SA,A,A,A,SA,SA,SA,SA,SA,A,A,A,Female,21-25,,,,,,1
